id,name,address,city,state,zip,phone,capacity,website
70,"Venue 70","Address 70 Main Street","City 10","State 5","ZIP00070","555-010-0070",170,"http://venue70.example.com"
71,"Venue 71","Address 71 Main Street","City 1","State 1","ZIP00071","555-010-0071",171,"http://venue71.example.com"
72,"Venue 72","Address 72 Main Street","City 2","State 2","ZIP00072","555-010-0072",172,"http://venue72.example.com"
73,"Venue 73","Address 73 Main Street","City 3","State 3","ZIP00073","555-010-0073",173,"http://venue73.example.com"
74,"Venue 74","Address 74 Main Street","City 4","State 4","ZIP00074","555-010-0074",174,"http://venue74.example.com"
75,"Venue 75","Address 75 Main Street","City 5","State 5","ZIP00075","555-010-0075",175,"http://venue75.example.com"
76,"Venue 76","Address 76 Main Street","City 6","State 1","ZIP00076","555-010-0076",176,"http://venue76.example.com"
77,"Venue 77","Address 77 Main Street","City 7","State 2","ZIP00077","555-010-0077",177,"http://venue77.example.com"
78,"Venue 78","Address 78 Main Street","City 8","State 3","ZIP00078","555-010-0078",178,"http://venue78.example.com"
79,"Venue 79","Address 79 Main Street","City 9","State 4","ZIP00079","555-010-0079",179,"http://venue79.example.com"
80,"Venue 80","Address 80 Main Street","City 10","State 5","ZIP00080","555-010-0080",180,"http://venue80.example.com"
81,"Venue 81","Address 81 Main Street","City 1","State 1","ZIP00081","555-010-0081",181,"http://venue81.example.com"
82,"Venue 82","Address 82 Main Street","City 2","State 2","ZIP00082","555-010-0082",182,"http://venue82.example.com"
83,"Venue 83","Address 83 Main Street","City 3","State 3","ZIP00083","555-010-0083",183,"http://venue83.example.com"
84,"Venue 84","Address 84 Main Street","City 4","State 4","ZIP00084","555-010-0084",184,"http://venue84.example.com"
85,"Venue 85","Address 85 Main Street","City 5","State 5","ZIP00085","555-010-0085",185,"http://venue85.example.com"
86,"Venue 86","Address 86 Main Street","City 6","State 1","ZIP00086","555-010-0086",186,"http://venue86.example.com"
87,"Venue 87","Address 87 Main Street","City 7","State 2","ZIP00087","555-010-0087",187,"http://venue87.example.com"
88,"Venue 88","Address 88 Main Street","City 8","State 3","ZIP00088","555-010-0088",188,"http://venue88.example.com"
89,"Venue 89","Address 89 Main Street","City 9","State 4","ZIP00089","555-010-0089",189,"http://venue89.example.com"
90,"Venue 90","Address 90 Main Street","City 10","State 5","ZIP00090","555-010-0090",190,"http://venue90.example.com"
91,"Venue 91","Address 91 Main Street","City 1","State 1","ZIP00091","555-010-0091",191,"http://venue91.example.com"
92,"Venue 92","Address 92 Main Street","City 2","State 2","ZIP00092","555-010-0092",192,"http://venue92.example.com"
93,"Venue 93","Address 93 Main Street","City 3","State 3","ZIP00093","555-010-0093",193,"http://venue93.example.com"
94,"Venue 94","Address 94 Main Street","City 4","State 4","ZIP00094","555-010-0094",194,"http://venue94.example.com"
95,"Venue 95","Address 95 Main Street","City 5","State 5","ZIP00095","555-010-0095",195,"http://venue95.example.com"
96,"Venue 96","Address 96 Main Street","City 6","State 1","ZIP00096","555-010-0096",196,"http://venue96.example.com"
97,"Venue 97","Address 97 Main Street","City 7","State 2","ZIP00097","555-010-0097",197,"http://venue97.example.com"
98,"Venue 98","Address 98 Main Street","City 8","State 3","ZIP00098","555-010-0098",198,"http://venue98.example.com"
99,"Venue 99","Address 99 Main Street","City 9","State 4","ZIP00099","555-010-0099",199,"http://venue99.example.com"
100,"Venue 100","Address 100 Main Street","City 10","State 5","ZIP00100","555-010-0100",200,"http://venue100.example.com"
